identifier,dimension,smiles,bus,elements,ms,nms
FURNIP,0,c1cnccn1,[],"['Cr', 'O']",['Cr'],['O']
FURZIC,0,CNC,"[5, 1]","['O', 'P', 'Si', 'W']","['Si', 'W']","['O', 'P']"
FUSFAA,0,CC(C)NC(C)C,[],"['O', 'W']",['W'],['O']
FUSFEE,0,CC(C)NC(C)C,[],"['O', 'W']",['W'],['O']
FUVXAW,0,c1cc(-c2ccncc2)ccn1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']"
FUVYAX,0,NCCN,"[14, 12]","['B', 'O', 'V']",['V'],"['B', 'O']"
FUXWAY,2,CN(C)C=CCN,"[2, 4]","['C', 'Mn', 'O', 'S']",['Mn'],"['C', 'O', 'S']"
FUXWEC,2,CN1CCNCC1,"[2, 4]","['C', 'O', 'S', 'Zn']",['Zn'],"['C', 'O', 'S']"
FUXWOM,2,NCCCCN,"[2, 4]","['C', 'Mn', 'O', 'S']",['Mn'],"['C', 'O', 'S']"
FUYRIA,2,C1CNCCN1,[5],"['O', 'Si']",['Si'],['O']
FUZBOS,3,NCCN,[],"['Ge', 'O', 'Sb']","['Ge', 'Sb']",['O']
FUZSUQ,1,CNC,[],"['Mo', 'O']",['Mo'],['O']
GACKIG,2,NCCN,[6],"['As', 'Ga', 'O']",['Ga'],"['As', 'O']"
GACKOM,1,NCCN,[6],"['As', 'Ga', 'O']",['Ga'],"['As', 'O']"
GACKUS,3,NCCN,[6],"['As', 'F', 'Ga', 'O']",['Ga'],"['As', 'F', 'O']"
GACLAZ,2,CC(N)CN,[6],"['As', 'Ga', 'O']",['Ga'],"['As', 'O']"
GAHKAE,0,CCN,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
GAHLEH,1,c1c[nH]cn1,[1],"['Cl', 'Cu', 'O', 'P']",['Cu'],"['Cl', 'O', 'P']"
GAMFAD,0,N=C(N)N,[15],"['C', 'Dy', 'O']",['Dy'],"['C', 'O']"
GAMFEH,0,N=C(N)N,[15],"['C', 'Er', 'O']",['Er'],"['C', 'O']"
GAMFIL,0,N=C(N)N,[15],"['C', 'Eu', 'O']",['Eu'],"['C', 'O']"
GAMFOR,0,N=C(N)N,[15],"['C', 'Gd', 'O']",['Gd'],"['C', 'O']"
GAMFUX,0,N=C(N)N,[15],"['C', 'Ho', 'O']",['Ho'],"['C', 'O']"
GAMGAE,0,N=C(N)N,[15],"['C', 'Lu', 'O']",['Lu'],"['C', 'O']"
GAMGIM,0,N=C(N)N,[15],"['C', 'O', 'Pr']",['Pr'],"['C', 'O']"
GAMGOS,0,N=C(N)N,[15],"['C', 'O', 'Sm']",['Sm'],"['C', 'O']"
GAMGUY,0,N=C(N)N,[15],"['C', 'O', 'Tb']",['Tb'],"['C', 'O']"
GAMHAF,0,N=C(N)N,[15],"['C', 'O', 'Tm']",['Tm'],"['C', 'O']"
GAMHEJ,0,N=C(N)N,[15],"['C', 'O', 'Yb']",['Yb'],"['C', 'O']"
GAMHIN,0,N=C(N)N,[15],"['C', 'O', 'Y']",['Y'],"['C', 'O']"
GANJOV,2,NCCCCCCCCCCCCN,[13],"['O', 'Se', 'U']",['U'],"['O', 'Se']"
GAQWUQ,0,N=C(N)N,[15],"['C', 'O', 'Zr']",['Zr'],"['C', 'O']"
GARKIT,1,NCCN,[1],"['O', 'P', 'V']",['V'],"['O', 'P']"
GARTUR,3,NCCCCCCCCCCCCN,[0],"['F', 'Ga', 'O', 'P', 'Zn']","['Ga', 'Zn']","['F', 'O', 'P']"
GARVAZ,2,NCCCCCCCCCCCCN,[0],"['F', 'Ga', 'O', 'P', 'Zn']","['Ga', 'Zn']","['F', 'O', 'P']"
GASROH,0,Cc1cccnc1,[],"['O', 'V']",['V'],['O']
GAVKOE,0,NCc1ccccc1,[2],"['Mn', 'O', 'S']",['Mn'],"['O', 'S']"
GAVNIB,0,c1cc(-c2ccncc2)ccn1,[4],"['C', 'O', 'Zr']",['Zr'],"['C', 'O']"
GAWHOC,0,CNC,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
GAZFAR,3,C1CN2CCN1CC2,[17],"['Cl', 'Na', 'O']",['Na'],"['Cl', 'O']"
GAZFOF,3,C1CNCCN1,[17],"['Cl', 'Na', 'O']",['Na'],"['Cl', 'O']"
GEBYER,0,CN(C)c1ccccc1,[],"['Mo', 'O']",['Mo'],['O']
GEDKIK,2,CCCCCCN,[1],"['O', 'P', 'Ti']",['Ti'],"['O', 'P']"
GEJNEP,2,CN1CCN(C)CC1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']"
GEKQEV,0,CN1C2CCC1CC(N)C2,[10],"['Cl', 'Cu', 'N', 'O']",['Cu'],"['Cl', 'N', 'O']"
GENHOY,3,CC1CNCCN1,[],"['Ge', 'O']",['Ge'],['O']
GENPIB,2,CNC,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']"
GENPOH,3,CNC,[2],"['O', 'Pr', 'S']",['Pr'],"['O', 'S']"
GENPUN,2,CNC,[2],"['O', 'Pr', 'S']",['Pr'],"['O', 'S']"
GEQBIO,0,NCCN,[1],"['Mg', 'O', 'P']",['Mg'],"['O', 'P']"
GEQVOO,1,NCCN,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']"
GEQVUU,1,NCCNCCNCCN,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']"
GEQWAB,1,NCCN,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']"
GEQWEF,1,CN(C)CCN(C)C,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']"
GEQWIJ,1,C1CNCCN1,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']"
GEQWOP,1,CN(C)CCN(C)C,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']"
GERJOF,3,C1CN2CCN1CC2,[9],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']"
GERJUL,3,N=CN,[9],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']"
GERKEW,3,c1c[nH]cn1,[9],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']"
GERKIA,3,N=C(N)N,[9],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']"
GERLAT,3,c1nnc[nH]1,[9],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']"
GERNIB,0,NCCN,[1],"['O', 'P', 'W']",['W'],"['O', 'P']"
GERSON,0,c1ccc(Nc2ccccn2)nc1,[10],"['N', 'Nd', 'O']",['Nd'],"['N', 'O']"
GERSUT,0,c1ccc(Nc2ccccn2)nc1,[10],"['N', 'O', 'Pr']",['Pr'],"['N', 'O']"
GEYWUC,0,CCCCCN,[],"['Mo', 'O']",['Mo'],['O']
GEZYOB,3,NC1CCCCCC1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']"
GEZYUH,3,NC1CCCCC1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']"
GEZZAO,3,NC1CCCC1,"[0, 1]","['O', 'P', 'V']",['V'],"['O', 'P']"
GEZZES,2,CC1CNCCN1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']"
GIBWOG,0,C1CNCCN1,[],"['O', 'V']",['V'],['O']
GICHAE,2,C1CNCCNCCNCCN1,[2],"['O', 'S', 'U']",['U'],"['O', 'S']"
GICHEI,2,C1CNCCNCCNCCN1,[13],"['O', 'Se', 'U']",['U'],"['O', 'Se']"
GICHIM,2,CN1C2CCC1CC(N)C2,[2],"['O', 'S', 'U']",['U'],"['O', 'S']"
GICHOS,2,CN1C2CCC1CC(N)C2,[13],"['O', 'Se', 'U']",['U'],"['O', 'Se']"
GICXIB,3,C1CNC1,[7],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']"
GIGPOB,0,c1ccc(-c2ccccn2)nc1,[10],"['N', 'Np', 'O']",['Np'],"['N', 'O']"
GIHCAC,0,CN(C)CCCN,[],"['O', 'V']",['V'],['O']
GIJGAJ,0,C1CN2CCN1CC2,[4],"['C', 'O', 'U']",['U'],"['C', 'O']"
GIJGEN,0,C1CN2CCN1CC2,[4],"['C', 'O', 'U']",['U'],"['C', 'O']"
GIKLIX,0,N=C(N)N,"[4, 8]","['C', 'O', 'U']",['U'],"['C', 'O']"
GIKPAT,0,C1CNCCN1,[4],"['C', 'O', 'U']",['U'],"['C', 'O']"
GIKPEX,0,C1CNCCN1,[4],"['C', 'O', 'U']",['U'],"['C', 'O']"
GIMNEW,1,NCCN,[1],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']"
GIMNUN,1,N=C(N)N,[],"['Cr', 'Np', 'O']","['Cr', 'Np']",['O']
GIQMEZ,0,c1cnccn1,[],"['Cr', 'F', 'O']",['Cr'],"['F', 'O']"
GISHOI,0,CNC,[],"['O', 'V']",['V'],['O']
GITMAX,1,NC1CCCCC1N,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
GITMEB,1,NC1CCCCC1N,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
GIVDOE,0,NCCN(CCN)CCN,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']"
GIWVIS,0,c1cc(-c2ccncc2)ccn1,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']"
GIWVOY,1,c1cc(-c2ccncc2)ccn1,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']"
GOBYEC,0,c1cc(-c2ccncc2)ccn1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']"
GODFIP,0,c1ccc(-c2ccccn2)nc1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
GODFOV,0,c1ccncc1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']"
GOFLOD,2,CCN,[1],"['O', 'P', 'Ti']",['Ti'],"['O', 'P']"
GOKJOF,2,Nc1ccncc1,[],"['O', 'V']",['V'],['O']
GOMPOO,3,c1c[nH]cn1,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
GOMSUW,3,CNC,[],"['Ge', 'O']",['Ge'],['O']
GOMTAG,0,CNC,[3],"['Ce', 'O', 'Se', 'W']","['Ce', 'W']","['O', 'Se']"
GOQBAR,0,c1ccncc1,[10],"['N', 'O', 'Pt']",['Pt'],"['N', 'O']"
GOQSAG,0,CNC,[],"['Mo', 'O']",['Mo'],['O']
GOQZUK,1,N=C(N)NN,[4],"['C', 'O', 'U']",['U'],"['C', 'O']"
GORDOJ,0,CNCCN,[],"['Mo', 'O']",['Mo'],['O']
GOSQEN,2,CN,[2],"['O', 'S', 'U']",['U'],"['O', 'S']"
GOSRIP,3,NCCNCCN,[1],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']"
GOVKEJ,0,CCN(CC)CC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
GOXXOI,0,c1ncn(CCCCCn2cncn2)n1,[6],"['As', 'Mo', 'O']",['Mo'],"['As', 'O']"
GOYPAN,3,N=CN,[7],"['C', 'Co', 'O']",['Co'],"['C', 'O']"
GOYPER,3,N=CN,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
GOYSAQ,0,c1cc(-c2ccncc2)ccn1,"[6, 11]","['As', 'Mo', 'O']",['Mo'],"['As', 'O']"
GUACRO10,0,N=C(N)N,[],"['Cr', 'O']",['Cr'],['O']
GUANDC01,0,N=C(N)N,[],"['Cr', 'O']",['Cr'],['O']
GUANTC10,0,N=C(N)N,[],"['Cr', 'O']",['Cr'],['O']
GUANZS,3,N=C(N)N,[2],"['O', 'S', 'Zn']",['Zn'],"['O', 'S']"
GUBHIW,0,NCCN,[1],"['Mo', 'Ni', 'O', 'P']","['Mo', 'Ni']","['O', 'P']"
GUBHOC,0,c1cc(-c2ccncc2)ccn1,[1],"['Mo', 'Ni', 'O', 'P']","['Mo', 'Ni']","['O', 'P']"
GUBPIE,3,CNC,[7],"['C', 'Cr', 'Mn', 'O']","['Cr', 'Mn']","['C', 'O']"
GUBPOK,3,CN,[7],"['C', 'Cr', 'Mn', 'O']","['Cr', 'Mn']","['C', 'O']"
GUBPUQ,3,CNC,[7],"['Al', 'C', 'Mn', 'O']","['Al', 'Mn']","['C', 'O']"
GUBQAX,3,CNC,[7],"['C', 'Cr', 'Mg', 'O']","['Cr', 'Mg']","['C', 'O']"
GUCBFT,0,N=C(N)N,[15],"['C', 'F', 'O', 'Th']",['Th'],"['C', 'F', 'O']"
GUCPEZ,2,NCCN(CCN)CCN,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']"
GUGXIR,2,CN(C)CCCN(C)C,[0],"['Be', 'O', 'P']",['Be'],"['O', 'P']"
GUGXOX,3,NCc1cccnc1,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']"
GUHMOM,2,CN,[1],"['Co', 'O', 'P']",['Co'],"['O', 'P']"
GUHNAZ,0,CCNCC,[1],"['Hf', 'O', 'P', 'W']","['Hf', 'W']","['O', 'P']"
GUHNED,0,CCNCC,[1],"['O', 'P', 'W', 'Zr']","['W', 'Zr']","['O', 'P']"
GUHNIH,0,CNC,[1],"['O', 'P', 'W']",['W'],"['O', 'P']"
GULCAS,3,NCCNCCN,[0],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']"
GULFUO,2,NC1CCCCC1,[1],"['Cl', 'O', 'P', 'Zn']",['Zn'],"['Cl', 'O', 'P']"
GUMOSI,0,N=C(N)N,[5],"['Mo', 'O', 'Si']","['Mo', 'Si']",['O']
GUNDMO,0,N=C(N)N,[],"['Mo', 'O']",['Mo'],['O']
GUOCCE10,0,N=C(N)N,[15],"['C', 'Ce', 'O']",['Ce'],"['C', 'O']"
GUPCCE,0,N=C(N)N,[15],"['C', 'Ce', 'O']",['Ce'],"['C', 'O']"
GUPCTH,0,N=C(N)N,[15],"['C', 'O', 'Th']",['Th'],"['C', 'O']"
GUQTOB,3,NCCCN,"[4, 1]","['C', 'O', 'P', 'Zn']",['Zn'],"['C', 'O', 'P']"
GURZAV,0,CNC,[1],"['O', 'P', 'W', 'Zr']","['W', 'Zr']","['O', 'P']"
GURZEZ,0,CNC,[1],"['Hf', 'O', 'P', 'W']","['Hf', 'W']","['O', 'P']"
GUSQIV,3,NCCCCCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O']
GUSQOB,3,NCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O']
GUSQUH,3,NCCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O']
GUSRAO,3,NCCCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O']
GUSRES,3,NCCCCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O']
GUSVAT,1,c1ccc2[nH]cnc2c1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
GUURSL,2,N=C(N)N,[2],"['O', 'S', 'U']",['U'],"['O', 'S']"
GUVBEF,3,NCCN,[1],"['Ni', 'O', 'P', 'W']","['Ni', 'W']","['O', 'P']"
GUWKAL,0,c1ccncc1,[],"['Mo', 'O']",['Mo'],['O']
GUWLEQ,0,c1cn(CCCCn2ccnc2)cn1,[],"['Mo', 'O']",['Mo'],['O']
GUXBUX,0,CCc1nc2ccccc2n1CCCCn1c(CC)nc2ccccc21,[],"['Mo', 'O']",['Mo'],['O']
GUXQOF,2,NCCCCN,[],"['F', 'Ge', 'O']",['Ge'],"['F', 'O']"
GUXQUL,2,NC1CCC(N)CC1,[],"['F', 'Ge', 'O']",['Ge'],"['F', 'O']"
GYCEAC,0,N=C(N)N,[8],"['C', 'Ce', 'O']",['Ce'],"['C', 'O']"
HABCAQ,0,CC(N)CN,[1],"['Fe', 'Mo', 'O', 'P']","['Fe', 'Mo']","['O', 'P']"
HABCEU,0,CC(N)CN,[1],"['Fe', 'Mo', 'O', 'P']","['Fe', 'Mo']","['O', 'P']"
HABDIZ,0,Cc1ncc[nH]1,[1],"['Mn', 'O', 'P', 'W']","['Mn', 'W']","['O', 'P']"
HABKEC,1,NCCCN,[1],"['Ga', 'O', 'P', 'V']","['Ga', 'V']","['O', 'P']"
HABKIG,2,NCCCN,[1],"['Ga', 'O', 'P', 'V']","['Ga', 'V']","['O', 'P']"
HABKOM,3,NCCCN,[1],"['Ga', 'O', 'P', 'V']","['Ga', 'V']","['O', 'P']"
HACCOF,2,NCCCNCCNCCCN,[],"['F', 'Ge', 'Nb', 'O']","['Ge', 'Nb']","['F', 'O']"
HACREJ,1,CNC,[2],"['O', 'S', 'Y']",['Y'],"['O', 'S']"
HAFGIE,0,NCCCCCCCCN,[],"['O', 'V']",['V'],['O']
HAFGUQ,1,NCCCCN,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
HAFJEE,0,c1ccc2[nH]cnc2c1,[],"['Cr', 'O']",['Cr'],['O']
HAFJII,0,CCCc1nc2ccccc2[nH]1,[],"['Cr', 'O']",['Cr'],['O']
HAGSUE,3,C1CNCCN1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
HAGVUH,0,c1cc2cc(c1)CNCCN1CCNCc3cccc(c3)CNCCN(CCNC2)CCNCc2cccc(c2)CNCC1,[],"['O', 'Re']",['Re'],['O']
HAGWAO,0,c1cc2nc(c1)CNCCN1CCNCc3cccc(n3)CNCCN(CCNC2)CCNCc2cccc(n2)CNCC1,[],"['O', 'Re']",['Re'],['O']
HAJZAV,0,Nc1ccncc1,[],"['Cr', 'Mo', 'O']","['Cr', 'Mo']",['O']
HAJZEZ,0,Nc1ccncc1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
HAKYAT,0,N=C(N)N,[],"['O', 'V']",['V'],['O']
HASNIB,3,c1c[nH]cn1,[4],"['C', 'Eu', 'O']",['Eu'],"['C', 'O']"
HASNOH,3,c1c[nH]cn1,[4],"['C', 'O', 'Tb']",['Tb'],"['C', 'O']"
HASNUN,3,Cn1ccnc1,[4],"['C', 'Eu', 'O']",['Eu'],"['C', 'O']"
HATLOF,2,NCCCCCCN,[],"['Mo', 'O']",['Mo'],['O']
HATLUL,2,CNCCCCCCNC,[],"['Mo', 'O']",['Mo'],['O']
HATREZ,0,CC(C)N,[],"['Mo', 'O']",['Mo'],['O']
HAWHOE,0,C1CN2CCN1CC2,[],"['Cl', 'Cr', 'O']",['Cr'],"['Cl', 'O']"
HAXGOE,0,c1ccncc1,[],"['Cl', 'Cr', 'O']",['Cr'],"['Cl', 'O']"
HEBPUB,3,NC1CCCCCC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
HEBTIU,2,NCCN,"[14, 12]","['B', 'Na', 'O']",['Na'],"['B', 'O']"
HEFHEF,2,C1CNCCN1,[1],"['O', 'P', 'V']",['V'],"['O', 'P']"
HEFHIJ,2,C1CNCCN1,[1],"['O', 'P', 'V']",['V'],"['O', 'P']"
HEFXUL,0,CC(C)(C)N,[],"['Cr', 'Mo', 'O']","['Cr', 'Mo']",['O']
HEGBUQ,0,CC(C)(C)N,[],"['Cr', 'Mo', 'O']","['Cr', 'Mo']",['O']
HEHWAS,3,NCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
HEKFOS,0,CC(C)(C)N,[],"['Mo', 'O']",['Mo'],['O']
HEMRIA,0,NCCN,[],"['O', 'W']",['W'],['O']
HEMVEB,3,NCCN,[1],"['Co', 'F', 'O', 'P']",['Co'],"['F', 'O', 'P']"
HENRIE,0,c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)nc2-c2ccccn2)nc1,[10],"['Eu', 'N', 'O']",['Eu'],"['N', 'O']"
HENROK,0,c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)nc2-c2ccccn2)nc1,[10],"['N', 'O', 'Tb']",['Tb'],"['N', 'O']"
HENRUQ,0,c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)nc2-c2ccccn2)nc1,[10],"['Er', 'N', 'O']",['Er'],"['N', 'O']"
HENSAX,0,c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)nc2-c2ccccn2)nc1,[10],"['N', 'O', 'Y']",['Y'],"['N', 'O']"
HEPQOJ,0,CC(C)(C)N,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
HETCUH,2,NCCN,"[14, 12]","['B', 'Na', 'O', 'V']","['Na', 'V']","['B', 'O']"
HEWPIJ,3,CN,[7],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']"
HEWXEN,2,NCCN,[],"['O', 'U', 'V']","['U', 'V']",['O']
HEWXIR,2,NCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O']
HEWXOX,2,C1CNCCN1,[],"['O', 'U', 'V']","['U', 'V']",['O']
HEWXUD,2,CN1CCN(C)CC1,[],"['O', 'U', 'V']","['U', 'V']",['O']
HEWYAK,2,C1CN2CCN1CC2,[],"['O', 'U', 'V']","['U', 'V']",['O']
HEYBIX,3,NCCN,[1],"['F', 'Nb', 'O', 'P', 'Zn']","['Nb', 'Zn']","['F', 'O', 'P']"
HEYBOD,1,NCCN,[1],"['F', 'Nb', 'O', 'P']",['Nb'],"['F', 'O', 'P']"
HEYFUM,3,CCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
HEZNUW,3,NCCN1CCNCC1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
HEZPIL01,3,NCCCN,[1],"['O', 'P', 'V']",['V'],"['O', 'P']"
HEZWIS,2,NCCN,[1],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']"
HEZXOZ,1,C1CNCCN1,[6],"['As', 'O', 'V']",['V'],"['As', 'O']"
HIBQUE,3,C1CNCCN1,"[4, 1]","['C', 'In', 'O', 'P']",['In'],"['C', 'O', 'P']"
HICFAB,2,NCCN,[3],"['F', 'Ga', 'O', 'Se']",['Ga'],"['F', 'O', 'Se']"
HICFEF,2,NCCN,[3],"['F', 'In', 'O', 'Se']",['In'],"['F', 'O', 'Se']"
HICFIJ,1,C1CNCCN1,"[3, 4]","['C', 'F', 'Ga', 'O', 'Se']",['Ga'],"['C', 'F', 'O', 'Se']"
HICFOP,3,C1CN2CCN1CC2,"[3, 4]","['C', 'F', 'Ga', 'O', 'Se']",['Ga'],"['C', 'F', 'O', 'Se']"
HICFUV,1,NCCN,[13],"['F', 'In', 'O', 'Se']",['In'],"['F', 'O', 'Se']"
HICGAC,1,NCCN,"[13, 4]","['C', 'In', 'O', 'Se']",['In'],"['C', 'O', 'Se']"
HICKOU,1,CCN(CC)CC,[4],"['C', 'Cl', 'Fe', 'O']",['Fe'],"['C', 'Cl', 'O']"
HIDLEL,0,CC(C)N,[],"['O', 'V']",['V'],['O']
HIDLIP,1,CCN,[],"['O', 'V']",['V'],['O']
HIDXOI,0,Cc1cc(C)nc(N)n1,[8],"['C', 'Cd', 'O']",['Cd'],"['C', 'O']"
HIFNOA,1,NCCCN,[],"['Mo', 'O']",['Mo'],['O']
HIHFOT,0,c1cc(-c2ccncc2)ccn1,[],"['Cl', 'Cr', 'O']",['Cr'],"['Cl', 'O']"
HIHFUZ,0,Cc1ccnc2ccccc12,[],"['Cl', 'Cr', 'O']",['Cr'],"['Cl', 'O']"
HIHGAG,0,Cc1ccc2ncccc2c1,[],"['Cl', 'Cr', 'O']",['Cr'],"['Cl', 'O']"
HIHGEK,0,NCCN,[],"['Cl', 'Cr', 'O']",['Cr'],"['Cl', 'O']"
HIHNIX,2,c1cc(-c2ccncc2)ccn1,"[4, 1]","['C', 'Mn', 'O', 'P']",['Mn'],"['C', 'O', 'P']"
HIJMEU,3,NCCN,[1],"['Mn', 'Mo', 'O', 'P']","['Mn', 'Mo']","['O', 'P']"
HIKTIG,2,CN1CCN(C)CC1,"[3, 4]","['C', 'O', 'Se', 'V']",['V'],"['C', 'O', 'Se']"
HIKTOM,2,CC1CNC(C)CN1,"[3, 4]","['C', 'O', 'Se', 'V']",['V'],"['C', 'O', 'Se']"
HIKTUS,2,CNCCNC,"[3, 4]","['C', 'O', 'Se', 'V']",['V'],"['C', 'O', 'Se']"
HIKVAA,2,CN(C)CCN(C)C,"[3, 4]","['C', 'O', 'Se', 'V']",['V'],"['C', 'O', 'Se']"
HIKVEE,2,CCNCCN(C)C,"[3, 4]","['C', 'O', 'Se', 'V']",['V'],"['C', 'O', 'Se']"
HIKVII,2,CN1CCNCC1,"[3, 4]","['C', 'O', 'Se', 'V']",['V'],"['C', 'O', 'Se']"
HIKVOO,2,CC1CNCCN1,"[3, 4]","['C', 'O', 'Se', 'V']",['V'],"['C', 'O', 'Se']"
HIKVUU,2,CC1CNCCN1,"[3, 4]","['C', 'O', 'Se', 'V']",['V'],"['C', 'O', 'Se']"
HIKWAB,2,CC1CNCCN1,"[3, 4]","['C', 'O', 'Se', 'V']",['V'],"['C', 'O', 'Se']"
HIPKIB,2,C1CNCCN1,[0],"['F', 'O', 'P', 'U']",['U'],"['F', 'O', 'P']"
HIPKOH,2,NCCN,[0],"['F', 'O', 'P', 'U']",['U'],"['F', 'O', 'P']"
HIPKUN,3,C1CNCCN1,[0],"['F', 'O', 'P', 'U']",['U'],"['F', 'O', 'P']"
HIQHUM,0,NCCN,[11],"['As', 'O', 'W']",['W'],"['As', 'O']"
HIQYAJ,0,c1c[nH]cn1,[4],"['C', 'Cr', 'O']",['Cr'],"['C', 'O']"
HIWLEG,3,CCN1CCNCC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
HIWLIK,3,CCN1CCNCC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
HIWLOQ,3,CC(CN)CCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
HIWLUW,3,CC1(C)CC(N)CC(C)(C)N1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
HIWMAD,3,NCCCCCCCCCCCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
HIWPOS,3,C1CNCCN1,[],"['Ge', 'O']",['Ge'],['O']
HIXBAU,0,Cc1cc(C)[nH]n1,[4],"['C', 'Cr', 'O']",['Cr'],"['C', 'O']"
HIXNAF,0,C1CNCCN1,"[14, 12]","['B', 'Co', 'O']",['Co'],"['B', 'O']"
HIXWIW,3,NCCNCCN,"[14, 12]","['B', 'K', 'O', 'V']","['K', 'V']","['B', 'O']"
HIZHOO,0,NCCNCCN,[1],"['O', 'P', 'W']",['W'],"['O', 'P']"
HOBBUV,1,NCCN,"[14, 12]","['B', 'O', 'V']",['V'],"['B', 'O']"
HOBMAP,0,C1CNCCN1,[4],"['C', 'F', 'Fe', 'O']",['Fe'],"['C', 'F', 'O']"
HOCDIO,3,N=C(N)N,"[0, 4]","['C', 'Co', 'O', 'P']",['Co'],"['C', 'O', 'P']"
HOCDOU,3,N=C(N)N,"[0, 4]","['C', 'Mn', 'O', 'P']",['Mn'],"['C', 'O', 'P']"
HOKVEK,0,c1cc(-c2ccncc2)ccn1,[5],"['O', 'Si', 'W']","['Si', 'W']",['O']
HOMDET,2,Cc1c[nH]cn1,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
HOMSIM,0,CCCCN,[],"['Cu', 'Ge', 'O', 'W']","['Cu', 'Ge', 'W']",['O']
HOMSOS,0,CCCCN,[],"['Cu', 'Ge', 'O', 'W']","['Cu', 'Ge', 'W']",['O']
HONLOM,0,Cc1ccccn1,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
HOPHOJ,2,NCCN,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']"
HOPJOO,1,CC1CNCCN1,[1],"['Cu', 'Mo', 'O', 'P']","['Cu', 'Mo']","['O', 'P']"
HOPYEQ,3,NCCNCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
